city,temperature,feels_like,temp_min,temp_max,humidity,pressure,weather_condition,weather_description,wind_speed,visibility,country,timestamp,temp_category
Mumbai,31.05,31.15,29.05,33.05,83,1005,Rain,moderate rain,5.42,9475,IN,2026-05-17 13:21:33.545048,Warm
Delhi,37.9,37.8,35.9,39.9,37,1012,Haze,haze,4.1,9764,IN,2026-05-17 13:21:33.545048,Hot
London,17.9,18.0,15.9,19.9,78,1025,Clouds,broken clouds,6.9,9629,GB,2026-05-17 13:21:33.546589,Mild
New York,19.53,19.43,17.53,21.53,70,1014,Clear,clear sky,5.4,8919,US,2026-05-17 13:21:33.546589,Mild
Tokyo,18.48,18.38,16.48,20.48,62,1014,Clouds,scattered clouds,4.92,9137,JP,2026-05-17 13:21:33.546589,Mild
Sydney,15.24,15.34,13.24,17.24,73,1022,Clear,clear sky,7.46,8858,AU,2026-05-17 13:21:33.546589,Mild
Dubai,39.25,39.15,37.25,41.25,39,1024,Clear,clear sky,2.03,9317,AE,2026-05-17 13:21:33.546589,Hot
Paris,14.77,14.67,12.77,16.77,63,1013,Mist,mist,1.93,9035,FR,2026-05-17 13:21:33.546589,Cold
Berlin,15.06,14.96,13.06,17.06,66,1025,Clouds,few clouds,1.98,8496,DE,2026-05-17 13:21:33.546589,Mild
Toronto,12.75,12.65,10.75,14.75,65,1011,Clear,clear sky,5.83,9358,CA,2026-05-17 13:21:33.546589,Cold
