######################################################################
#  WEATHER DATA ANALYSIS REPORT
#  Generated: 2026-05-17 14:17:55
#  Database Backend: SQLite
#  Pipeline: Automated ETL Pipeline using Python & MySQL
######################################################################

======================================================================
  Average Temperature, Humidity & Air Quality by City (JOIN & GROUP BY)
======================================================================
  City      Country  Avg Temp (°C)  Avg Humidity (%)  Avg AQI  
  -------------------------------------------------------------
  Dubai     AE       38.41          28.53             45.1     
  Mumbai    IN       33.36          68.5              94.96    
  Delhi     IN       30.38          38.63             165.18   
  Sydney    AU       23.37          63.54             45.0     
  Tokyo     JP       21.38          61.56             44.68    
  New York  US       19.37          58.53             44.79    
  Paris     FR       18.44          66.59             45.58    
  London    GB       17.36          73.43             45.41    
  Berlin    DE       16.4           63.48             44.85    
  Toronto   CA       13.4           58.48             44.99    

  Records: 10

======================================================================
  Rank Cities by Wind Speed in Each Country (Window Function RANK & JOIN)
======================================================================
  City      Country  Wind Speed (m/s)  Rank in Country  
  ------------------------------------------------------
  Dubai     AE       10.5              1                
  Dubai     AE       10.5              1                
  Dubai     AE       10.5              1                
  Dubai     AE       10.49             4                
  Dubai     AE       10.49             4                
  Dubai     AE       10.49             4                
  Dubai     AE       10.49             4                
  Dubai     AE       10.49             4                
  Dubai     AE       10.49             4                
  Dubai     AE       10.48             10               
  Dubai     AE       10.48             10               
  Dubai     AE       10.47             12               
  Dubai     AE       10.47             12               
  Dubai     AE       10.47             12               
  Dubai     AE       10.47             12               
  Dubai     AE       10.47             12               
  Dubai     AE       10.47             12               
  Dubai     AE       10.47             12               
  Dubai     AE       10.46             19               
  Dubai     AE       10.46             19               
  Dubai     AE       10.45             21               
  Dubai     AE       10.45             21               
  Dubai     AE       10.45             21               
  Dubai     AE       10.44             24               
  Dubai     AE       10.44             24               
  Dubai     AE       10.44             24               
  Dubai     AE       10.43             27               
  Dubai     AE       10.43             27               
  Dubai     AE       10.43             27               
  Dubai     AE       10.43             27               
  Dubai     AE       10.43             27               
  Dubai     AE       10.43             27               
  Dubai     AE       10.43             27               
  Dubai     AE       10.42             34               
  Dubai     AE       10.42             34               
  Dubai     AE       10.42             34               
  Dubai     AE       10.42             34               
  Dubai     AE       10.42             34               
  Dubai     AE       10.41             39               
  Dubai     AE       10.41             39               
  Dubai     AE       10.41             39               
  Dubai     AE       10.4              42               
  Dubai     AE       10.4              42               
  Dubai     AE       10.4              42               
  Dubai     AE       10.4              42               
  Dubai     AE       10.4              42               
  Dubai     AE       10.39             47               
  Dubai     AE       10.39             47               
  Dubai     AE       10.39             47               
  Dubai     AE       10.39             47               
  Dubai     AE       10.38             51               
  Dubai     AE       10.37             52               
  Dubai     AE       10.36             53               
  Dubai     AE       10.36             53               
  Dubai     AE       10.36             53               
  Dubai     AE       10.36             53               
  Dubai     AE       10.35             57               
  Dubai     AE       10.35             57               
  Dubai     AE       10.35             57               
  Dubai     AE       10.35             57               
  Dubai     AE       10.35             57               
  Dubai     AE       10.34             62               
  Dubai     AE       10.33             63               
  Dubai     AE       10.33             63               
  Dubai     AE       10.33             63               
  Dubai     AE       10.33             63               
  Dubai     AE       10.33             63               
  Dubai     AE       10.32             68               
  Dubai     AE       10.32             68               
  Dubai     AE       10.32             68               
  Dubai     AE       10.32             68               
  Dubai     AE       10.32             68               
  Dubai     AE       10.32             68               
  Dubai     AE       10.32             68               
  Dubai     AE       10.32             68               
  Dubai     AE       10.31             76               
  Dubai     AE       10.31             76               
  Dubai     AE       10.31             76               
  Dubai     AE       10.31             76               
  Dubai     AE       10.3              80               
  Dubai     AE       10.3              80               
  Dubai     AE       10.29             82               
  Dubai     AE       10.29             82               
  Dubai     AE       10.29             82               
  Dubai     AE       10.28             85               
  Dubai     AE       10.28             85               
  Dubai     AE       10.28             85               
